epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,783.43,0.75969,0.38703,1.02591,0.9867,0.98851,0.99286,0.81524,0.84267,0.31805,1.07788,0.000581,0.000581,0.000581
45,800.99,0.752,0.3801,1.02129,0.98177,1,0.99308,0.81937,0.86805,0.32998,1.1004,0.000548,0.000548,0.000548
46,819.191,0.74886,0.38117,1.01972,0.98379,0.99634,0.99329,0.81741,0.84433,0.31724,1.08893,0.000515,0.000515,0.000515
47,836.742,0.73732,0.37451,1.01617,0.98533,0.99272,0.99329,0.81538,0.85153,0.31546,1.08796,0.000482,0.000482,0.000482
48,854.296,0.73799,0.37526,1.01781,0.98219,0.99621,0.99306,0.81594,0.85029,0.32012,1.09369,0.000449,0.000449,0.000449
49,871.849,0.72111,0.36263,1.00976,0.98531,0.99108,0.99299,0.81106,0.86792,0.321,1.10852,0.000416,0.000416,0.000416
50,889.425,0.71969,0.36115,1.0042,0.98437,0.98851,0.9926,0.81745,0.84991,0.31137,1.0901,0.000383,0.000383,0.000383
51,907.384,0.69841,0.32466,1.02747,0.98492,0.99672,0.99284,0.80834,0.84057,0.30889,1.0846,0.00035,0.00035,0.00035
52,924.828,0.67019,0.30046,0.9978,0.98574,0.99672,0.99281,0.81841,0.83752,0.30183,1.09223,0.000317,0.000317,0.000317
53,942.277,0.66412,0.29744,0.99552,0.98532,0.99185,0.99291,0.82086,0.8592,0.31396,1.10611,0.000284,0.000284,0.000284
54,960.395,0.65855,0.29408,0.99822,0.9902,0.99546,0.99295,0.82426,0.85419,0.30142,1.11153,0.000251,0.000251,0.000251
55,978.451,0.64953,0.28766,0.99285,0.98541,0.99789,0.99253,0.81897,0.86059,0.30228,1.10818,0.000218,0.000218,0.000218
56,995.867,0.63738,0.28202,0.98288,0.98859,0.99594,0.99293,0.82541,0.85045,0.29811,1.10741,0.000185,0.000185,0.000185
57,1013.95,0.61676,0.27193,0.97539,0.98615,0.99836,0.99316,0.82019,0.85834,0.2994,1.11186,0.000152,0.000152,0.000152
58,1031.38,0.61006,0.27146,0.976,0.98538,0.99634,0.99307,0.82001,0.85605,0.29912,1.10713,0.000119,0.000119,0.000119
59,1048.81,0.60607,0.26775,0.96583,0.98538,0.996,0.99324,0.82158,0.85258,0.29655,1.10386,8.6e-05,8.6e-05,8.6e-05
60,1066.37,0.59361,0.26489,0.97189,0.98543,0.99965,0.99321,0.82504,0.8472,0.29458,1.1,5.3e-05,5.3e-05,5.3e-05
