epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4915.18,0.909,0.69109,1.03311,0.93508,0.81507,0.86963,0.64274,0.9033,0.56227,0.97836,0.000614,0.000614,0.000614
44,5026.05,0.89408,0.67608,1.0338,0.9431,0.80822,0.86779,0.64037,0.90063,0.55318,0.97911,0.000581,0.000581,0.000581
45,5139.51,0.88877,0.65849,1.03372,0.94287,0.81164,0.8622,0.64309,0.89627,0.55752,0.96899,0.000548,0.000548,0.000548
46,5258.15,0.90072,0.68242,1.02944,0.93261,0.80576,0.85871,0.64085,0.89399,0.55852,0.9883,0.000515,0.000515,0.000515
47,5374.92,0.86375,0.65386,1.01394,0.94967,0.82534,0.8774,0.64967,0.89527,0.53936,0.97462,0.000482,0.000482,0.000482
48,5487.07,0.88472,0.66586,1.02299,0.94772,0.81164,0.86468,0.64654,0.88762,0.58789,0.97872,0.000449,0.000449,0.000449
49,5599,0.87718,0.65562,1.027,0.93262,0.82877,0.87281,0.6561,0.85795,0.54839,0.95916,0.000416,0.000416,0.000416
50,5712.26,0.86666,0.66029,1.02013,0.93553,0.81849,0.86624,0.65522,0.85642,0.55907,0.96175,0.000383,0.000383,0.000383
51,5832.94,0.83171,0.61342,1.01635,0.96215,0.78425,0.85934,0.64618,0.8685,0.55522,0.9578,0.00035,0.00035,0.00035
52,5946.68,0.82765,0.61948,1.01112,0.96562,0.81164,0.87319,0.66036,0.85347,0.52513,0.94954,0.000317,0.000317,0.000317
53,6062.29,0.81142,0.58015,0.99929,0.95212,0.80822,0.87423,0.66522,0.83208,0.51448,0.95536,0.000284,0.000284,0.000284
54,6177.49,0.78062,0.57029,0.97911,0.95562,0.82534,0.88487,0.66878,0.83871,0.49925,0.95124,0.000251,0.000251,0.000251
55,6293.92,0.78194,0.55678,0.98522,0.94781,0.83562,0.8837,0.66935,0.86363,0.5033,0.95453,0.000218,0.000218,0.000218
56,6407.56,0.77346,0.55684,0.9908,0.95987,0.81912,0.87522,0.66105,0.83892,0.5038,0.94732,0.000185,0.000185,0.000185
57,6525.26,0.75526,0.53659,0.97531,0.96518,0.82192,0.87673,0.66283,0.83991,0.52,0.9545,0.000152,0.000152,0.000152
58,6639.43,0.747,0.53188,0.97394,0.93664,0.83219,0.87483,0.66502,0.83769,0.50586,0.94877,0.000119,0.000119,0.000119
59,6751.67,0.73496,0.51709,0.9694,0.92841,0.84386,0.87655,0.66997,0.82369,0.49352,0.94799,8.6e-05,8.6e-05,8.6e-05
60,6864.89,0.73387,0.52981,0.97851,0.96266,0.82192,0.87819,0.67637,0.80986,0.48838,0.94099,5.3e-05,5.3e-05,5.3e-05
